estado,Light,Rectangle,Sphere,Circle,Diamond,Disk,Egg,Cigar,Formation,Flash,,Cone,Fireball,Other,Unknown,Changing,Triangle,Oval,Teardrop,Cross,Chevron,Cylinder,Star,rectangle,light,other,fireball,Delta,triangle,circle,cylinder,unknown,delta
CT,226,26,69,137,23,53,11,34,26,22,24,5,130,84,91,20,101,60,15,7,13,19,0,0,0,0,0,0,0,0,0,0,0
WV,135,8,28,70,7,30,7,12,19,7,9,1,39,40,56,12,69,29,4,4,10,22,0,0,0,0,0,0,0,0,0,0,0
CA,2457,185,807,1184,192,635,109,218,371,205,180,51,995,790,745,376,983,492,107,44,180,160,0,0,1,2,0,0,0,1,0,0,0
UT,214,12,67,103,13,58,9,20,37,23,12,6,74,65,67,33,99,40,12,3,16,8,0,0,0,0,0,0,0,0,0,0,0
MI,562,41,165,228,38,119,19,48,90,33,53,13,238,143,182,57,285,104,20,6,13,33,0,0,2,0,0,0,1,0,0,0,0
MO,374,31,130,150,29,111,8,49,41,33,31,6,160,131,148,47,238,77,22,5,34,41,0,0,0,0,0,0,0,0,0,0,0
NV,223,23,76,109,14,56,9,22,45,21,24,7,76,98,101,35,81,68,17,3,15,20,0,0,1,0,0,0,0,0,0,0,0
OR,538,36,169,281,32,102,16,48,78,64,54,7,194,169,169,74,186,104,18,9,25,38,0,0,0,0,0,0,0,0,0,0,0
AZ,823,54,220,347,45,167,33,62,160,66,60,20,252,280,244,113,275,144,34,9,25,47,0,0,1,1,0,0,0,0,0,0,0
NY,789,67,229,475,68,212,50,90,121,71,70,17,336,250,255,100,343,200,38,20,37,59,0,0,1,1,0,0,0,0,0,0,0
CO,413,43,159,203,25,114,18,41,83,47,30,6,135,170,135,56,232,92,17,9,54,39,0,0,0,0,0,0,0,0,0,0,0
NC,551,45,176,304,34,126,20,61,88,42,33,10,192,161,193,59,238,91,21,12,33,40,0,0,1,0,0,0,0,0,0,0,0
GA,370,33,114,208,24,92,19,53,50,32,29,8,158,141,138,51,161,76,15,11,11,24,0,0,1,0,0,0,0,0,0,0,0
FL,1078,89,396,650,80,264,47,112,169,106,99,18,630,356,406,143,472,271,46,18,72,95,0,0,1,0,0,0,0,0,0,0,0
ON,398,34,134,211,21,91,18,47,52,35,36,8,161,121,117,38,153,79,14,5,32,34,0,0,0,0,0,0,0,0,0,0,0
AB,101,9,28,37,10,28,5,10,21,9,7,4,21,33,42,6,53,13,4,1,3,4,0,0,0,0,0,0,0,0,0,0,0
KS,189,8,50,64,13,34,8,18,24,16,17,4,64,69,65,18,82,20,10,9,3,14,0,0,0,0,0,0,0,0,0,0,0
MA,353,27,136,173,33,82,15,35,49,26,30,7,160,120,130,40,168,100,22,4,20,32,1,0,0,0,0,0,0,0,0,0,0
NJ,364,34,123,213,34,123,17,33,52,42,34,9,175,140,134,32,169,101,18,6,14,24,0,0,0,1,0,0,0,0,0,0,0
PA,706,59,194,377,39,154,30,83,110,45,63,19,335,212,245,68,292,147,30,9,20,47,0,0,1,0,0,0,0,0,0,0,0
WI,405,17,114,180,30,62,13,36,76,30,26,4,173,98,131,35,150,58,21,1,14,24,0,0,1,0,1,0,0,0,0,0,0
,1377,116,468,827,134,527,96,182,225,125,331,51,454,548,439,174,554,349,87,28,52,98,0,0,0,0,0,0,0,0,0,0,0
NM,225,20,69,103,18,65,11,19,31,26,32,13,68,93,83,33,69,45,14,3,10,25,0,0,0,0,0,0,0,0,0,0,0
RI,87,7,22,54,9,26,9,3,17,4,9,2,35,30,26,6,35,11,7,0,7,9,0,0,0,0,0,0,0,0,0,0,0
OH,573,45,232,320,47,115,28,65,102,55,41,21,315,183,200,82,308,134,21,12,24,51,0,0,1,0,0,0,0,0,0,0,0
TN,290,22,96,177,27,89,14,55,43,28,27,5,116,101,123,35,168,71,14,3,15,50,0,0,0,0,0,0,0,1,0,0,0
SC,379,19,119,185,20,60,5,34,60,37,22,4,137,86,112,47,143,47,14,4,17,23,0,0,0,0,0,0,0,0,0,0,0
KY,215,21,80,117,24,61,6,32,22,14,20,2,87,73,83,35,123,39,8,3,12,11,0,0,1,0,0,0,0,0,0,0,0
MT,143,5,40,55,11,36,4,9,17,20,20,1,73,39,59,15,63,27,7,3,12,6,0,0,0,0,0,0,0,0,1,0,0
NF,9,2,2,2,0,2,1,0,0,2,1,1,1,2,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IL,685,50,190,335,42,137,32,59,120,49,58,7,293,183,203,72,359,137,24,9,42,34,0,1,0,0,0,0,0,0,0,0,0
WA,1142,71,337,468,63,189,42,74,161,111,125,20,463,340,407,115,404,215,34,10,61,71,0,0,1,1,0,0,0,0,0,0,0
IN,367,26,108,183,21,97,7,32,55,37,31,6,151,108,115,30,173,77,12,2,13,28,0,0,1,0,0,0,0,0,0,1,1
MD,254,21,80,135,14,67,16,39,47,26,15,1,87,81,95,33,119,63,9,0,16,22,0,0,0,1,0,0,0,0,0,0,0
NS,60,2,10,17,3,5,2,5,4,4,4,0,14,15,13,4,13,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ID,215,11,50,83,9,36,3,18,24,17,16,6,63,49,62,24,75,26,4,4,13,9,0,0,0,0,0,0,0,0,0,0,0
MN,302,29,98,168,18,63,13,40,60,28,39,3,93,85,95,24,151,61,15,4,24,12,0,0,0,0,0,0,1,0,0,0,0
AR,179,12,38,81,10,36,6,26,16,21,17,1,35,46,67,17,96,28,8,2,13,16,0,0,0,0,0,0,0,0,0,0,0
VA,355,35,136,206,31,95,16,45,56,37,31,6,141,122,139,46,173,73,13,3,24,25,0,0,0,0,0,0,0,1,0,0,0
ME,188,10,57,97,14,25,2,19,13,17,20,0,65,47,38,10,78,34,9,9,4,12,0,0,0,0,0,0,0,0,0,0,0
TX,864,84,240,389,61,211,32,113,125,80,70,17,262,327,341,114,431,224,50,8,57,79,0,0,1,0,0,0,1,0,0,0,0
OK,203,20,50,91,10,50,5,25,32,15,16,8,65,78,93,30,94,37,11,5,9,19,0,0,0,0,0,0,0,0,0,0,0
NH,162,17,55,85,14,39,3,25,24,8,16,2,50,41,64,23,76,26,7,3,9,7,0,0,1,0,0,0,0,0,0,0,0
AL,209,14,59,89,19,39,13,21,28,19,15,4,63,53,66,22,93,37,6,4,11,17,0,0,0,0,0,0,0,0,0,0,0
DE,44,6,23,43,5,11,3,0,12,4,4,1,22,16,21,5,36,13,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
IA,216,7,45,73,11,35,3,14,28,16,13,2,71,42,71,21,124,38,10,0,14,7,0,0,0,0,0,0,0,0,0,0,0
BC,240,8,42,86,13,64,6,14,22,22,23,2,49,90,63,19,79,36,5,4,11,16,0,0,0,0,0,1,0,0,0,0,0
NE,113,14,33,48,8,16,1,13,12,9,7,2,32,34,40,11,42,16,9,1,2,6,0,0,0,0,0,0,0,0,0,0,0
MB,46,3,12,21,1,13,0,2,4,3,6,1,17,17,23,4,11,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
HI,137,6,40,51,6,16,3,2,10,12,10,5,43,29,27,11,21,12,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0
SD,63,4,12,20,4,8,2,4,6,7,6,0,18,19,28,4,27,11,3,0,5,4,0,0,0,1,0,0,0,0,0,0,0
VT,95,8,40,45,4,14,3,9,15,9,6,4,32,28,34,12,33,17,2,4,2,5,0,0,0,0,0,0,0,0,0,0,0
AK,115,7,30,48,8,33,1,4,8,17,12,2,27,27,30,8,38,28,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0
WY,59,3,25,25,2,8,3,4,7,5,7,1,20,22,14,4,26,11,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0
NB,25,1,7,9,3,9,0,4,6,2,1,0,19,8,12,10,10,6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
QC,45,4,15,18,7,14,3,6,8,4,4,1,8,21,13,11,14,14,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0
Southern District,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,174,11,58,80,6,29,2,23,28,9,14,1,54,42,53,16,92,36,15,2,8,11,0,0,0,0,0,0,0,0,0,0,0
ND,27,3,5,16,3,8,2,3,5,4,1,0,8,13,9,4,32,6,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0
MS,101,8,35,60,6,30,6,4,9,13,7,2,42,33,32,12,64,20,5,1,3,12,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,21,1,12,9,2,10,1,3,4,3,6,1,9,11,4,4,8,4,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0
Dorset,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK,32,2,6,13,3,10,0,1,2,1,4,1,10,11,7,3,15,5,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
YT,2,0,3,2,0,0,0,0,1,0,0,0,2,3,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ontario,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,5,1,0,4,0,1,0,1,0,0,0,0,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Perth and Kinross,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,4,0,0,2,1,3,0,0,0,0,0,0,4,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,2,1,0,2,1,2,0,1,1,4,0,0,0,2,1,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire West and Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brekshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panamá Province,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chon Buri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Washington, DC",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR,2,0,2,1,2,3,0,2,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PQ,15,1,9,4,3,1,2,2,6,0,3,0,5,5,3,3,9,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
YK,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
County Dublin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gisborne District,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
